v	c	a	d	time	branch	n_der	n_tot	time_elapsed	iter	p
1	2	1	1	0.6034482758	d	6715	13531	1024.2	10	0.496267829428719
1	0	1	1	0.6034482758	d	6988	13871	1024.2	10	0.503784874918896
0	1	2	1	0.6034482758	d	5377	10865	1024.2	10	0.494891854578923
2	1	0	1	0.6034482758	d	5576	11125	1024.2	10	0.501213483146067
1	1	2	1	0.6034482758	d	4303	8452	1024.2	10	0.509110269758637
1	1	0	1	0.6034482758	d	4302	8621	1024.2	10	0.499014035494722
2	1	1	1	0.6034482758	d	2687	5328	1024.2	10	0.504316816816817
0	1	1	1	0.6034482758	d	2648	5133	1024.2	10	0.515877654393142
1	1	1	1	0.6034482758	d	1556	3142	1024.2	10	0.495225970719287
0	0	0	0	0.6034482758	v	5196593	673156397	0	10	0.00771974094454011
2	2	2	2	0.6034482758	v	550148208	550343491	0	10	0.999645161606899
0	0	0	2	0.6034482758	v	193943	40719621	0.35	10	0.00476288814181252
2	2	2	0	0.6034482758	v	33160974	33739079	0.35	10	0.982865418466224
0	0	0	1	0.6034482758	v	19011	15412556	5.9	10	0.00123347483700951
1	0	0	0	0.6034482758	v	1646542	7850640	31.5	10	0.209733473958811
0	2	0	0	0.6034482758	v	640820	4437423	32.15	10	0.144412646709588
0	0	1	0	0.6034482758	v	261200	4336334	30.15	10	0.0602352125089995
0	0	2	0	0.6034482758	v	466387	4173551	19.15	10	0.11174824507955
2	0	0	0	0.6034482758	v	1541051	3448714	35.9	10	0.446848013491406
0	1	0	0	0.6034482758	v	235574	2994923	82.85	10	0.0786577818528223
2	2	0	0	0.6034482758	v	2191152	2799366	19.9	10	0.78273151849383
1	2	0	0	0.6034482758	v	752175	1571673	46.45	10	0.478582376868471
2	2	2	1	0.6034482758	v	2291801	2310349	9.25	10	0.991971775692763
2	2	1	0	0.6034482758	v	1204170	1411710	33.85	10	0.852986803238626
2	0	2	0	0.6034482758	v	975085	1388799	35.3	10	0.702106640341763
0	2	2	0	0.6034482758	v	467408	1331809	38.15	10	0.350957231855319
1	2	2	0	0.6034482758	v	768594	1315794	37.15	10	0.584129430594759
1	0	2	0	0.6034482758	v	499845	1104825	48.1	10	0.452420066526373
0	2	1	0	0.6034482758	v	186273	626995	97.45	10	0.297088493528657
1	0	1	0	0.6034482758	v	247610	594689	104.85	10	0.41636889197547
2	0	1	0	0.6034482758	v	388175	600818	98.7	10	0.646077514322141
2	1	0	0	0.6034482758	v	356295	548741	133.2	10	0.649295387076963
1	1	0	0	0.6034482758	v	225814	537482	167.75	10	0.420133139342341
0	0	2	2	0.6034482758	v	129279	754261	28.7	10	0.171398229525323
2	2	0	2	0.6034482758	v	628214	755406	29.25	10	0.831624318578354
2	1	2	0	0.6034482758	v	388048	505207	95.45	10	0.768097037451975
1	2	1	0	0.6034482758	v	269486	495164	112.4	10	0.544235849132813
0	1	2	0	0.6034482758	v	112054	412661	138.25	10	0.271540077690889
2	2	1	2	0.6034482758	v	409954	470404	46.95	10	0.871493439681635
0	0	1	2	0.6034482758	v	60678	468943	47.8	10	0.129393124537524
1	0	0	2	0.6034482758	v	175083	434383	51.45	10	0.403061353690177
2	0	2	2	0.6034482758	v	317189	436853	49.7	10	0.726077193014584
1	2	2	2	0.6034482758	v	262670	438714	49.05	10	0.59872718901152
0	2	0	2	0.6034482758	v	119470	434950	49.4	10	0.274675250028739
1	1	2	0	0.6034482758	v	148322	287873	178.55	10	0.515234148391826
0	2	2	2	0.6034482758	v	152340	403848	54.2	10	0.377221132703393
2	0	0	2	0.6034482758	v	249911	402240	53.5	10	0.62129822991249
0	1	1	0	0.6034482758	v	52904	227903	291.65	10	0.232133846417116
1	2	0	2	0.6034482758	v	164205	311262	70.6	10	0.527545925940205
1	0	2	2	0.6034482758	v	147513	312227	71.05	10	0.472454336108024
2	1	1	0	0.6034482758	v	132905	184027	289.45	10	0.722203807050052
1	1	1	0	0.6034482758	v	63080	130658	452.2	10	0.482787123635751
0	1	0	2	0.6034482758	v	36221	167994	134.25	10	0.215608890793719
2	1	2	2	0.6034482758	v	132998	169792	132.25	10	0.783299566528458
0	2	1	2	0.6034482758	v	52098	159676	139.5	10	0.326273203236554
2	0	1	2	0.6034482758	v	106644	158580	140	10	0.672493378736285
1	0	1	2	0.6034482758	v	61661	140370	161.55	10	0.439274773812068
1	2	1	2	0.6034482758	v	79796	141582	156.2	10	0.563602717859615
0	1	2	2	0.6034482758	v	34132	114585	196.6	10	0.297874940000873
2	1	0	2	0.6034482758	v	80549	114010	195.65	10	0.706508201034997
